payment_id,booking_id,amount,payment_date,payment_method
500,400,6532,2023-03-26,UPI
501,401,6712,2023-12-18,Cash
502,402,7858,2023-09-28,Cash
503,403,7536,2023-10-07,Cash
504,404,4281,2023-10-28,Cash
505,405,14103,2023-03-30,UPI
506,406,13533,2023-05-09,UPI
507,407,13829,2023-09-15,Cash
508,408,12310,2023-01-06,UPI
509,409,11801,2023-12-18,UPI
510,410,9546,2023-05-27,Card
511,411,13942,2023-01-22,Cash
512,412,11274,2023-03-29,Card
513,413,14737,2024-02-14,Card
514,414,4433,2023-01-26,Card
515,415,6197,2023-12-06,Cash
516,416,3909,2023-02-11,Card
517,417,3850,2023-10-18,Cash
518,418,3923,2023-12-06,UPI
519,419,9429,2023-02-18,Cash
520,420,7501,2023-01-23,Card
521,421,9105,2023-09-14,UPI
522,422,9716,2023-03-12,Card
523,423,12104,2023-11-20,Cash
524,424,10757,2023-11-21,Cash
525,425,6459,2023-03-09,Card
526,426,11419,2023-07-29,Cash
527,427,14505,2023-01-07,Cash
528,428,14634,2023-06-03,Cash
529,429,10335,2023-09-12,Cash
530,430,5342,2024-02-19,Card
531,431,11617,2023-09-22,UPI
532,432,9260,2023-11-13,UPI
533,433,11632,2023-06-30,Cash
534,434,9390,2024-01-27,Card
535,435,7557,2023-11-20,Cash
536,436,11530,2023-07-03,Card
537,437,5295,2023-06-03,UPI
538,438,11473,2023-09-24,Card
539,439,8692,2023-03-29,Card
540,440,11605,2024-02-10,UPI
541,441,6302,2023-03-06,Cash
542,442,14323,2023-11-28,UPI
543,443,3557,2023-02-01,Cash
544,444,4095,2023-07-26,Cash
545,445,9632,2023-08-21,Cash
546,446,12821,2023-07-03,Card
547,447,7443,2023-11-15,Cash
548,448,6096,2023-10-27,Cash
549,449,10136,2023-08-17,Card
550,450,11422,2023-04-02,Card
